dataset,task_type,protocol,split,model,metric,mean,std
semeval,classification,official_split,test_ua,gbm,macro_f1,0.524,0.0035
semeval,classification,official_split,test_ua,gbm,weighted_f1,0.528,0.004
semeval,classification,official_split,test_ua,gbm,accuracy,0.5448,0.0033
semeval,classification,official_split,test_ua,baseline,macro_f1,0.1179,0.0
semeval,classification,official_split,test_ua,baseline,weighted_f1,0.2462,0.0
semeval,classification,official_split,test_ua,baseline,accuracy,0.4178,0.0
semeval,classification,official_split,test_uq,gbm,macro_f1,0.4692,0.0051
semeval,classification,official_split,test_uq,gbm,weighted_f1,0.4596,0.0048
semeval,classification,official_split,test_uq,gbm,accuracy,0.4818,0.0041
semeval,classification,official_split,test_uq,baseline,macro_f1,0.1174,0.0
semeval,classification,official_split,test_uq,baseline,weighted_f1,0.244,0.0
semeval,classification,official_split,test_uq,baseline,accuracy,0.4156,0.0
semeval,classification,official_split,test_ud,gbm,macro_f1,0.4208,0.0012
semeval,classification,official_split,test_ud,gbm,weighted_f1,0.4418,0.0015
semeval,classification,official_split,test_ud,gbm,accuracy,0.4657,0.0016
semeval,classification,official_split,test_ud,baseline,macro_f1,0.1184,0.0
semeval,classification,official_split,test_ud,baseline,weighted_f1,0.2487,0.0
semeval,classification,official_split,test_ud,baseline,accuracy,0.4202,0.0
saf,regression,official_split,test_ua,gbm,rmse,0.3114,0.0031
saf,regression,official_split,test_ua,gbm,mae,0.2001,0.0028
saf,regression,official_split,test_ua,gbm,pearson,0.9039,0.0019
saf,regression,official_split,test_ua,gbm,spearman,0.7611,0.0065
saf,regression,official_split,test_ua,baseline,rmse,0.7276,0.0
saf,regression,official_split,test_ua,baseline,mae,0.4702,0.0
saf,regression,official_split,test_ua,baseline,pearson,,
saf,regression,official_split,test_ua,baseline,spearman,,
saf,regression,official_split,test_uq,gbm,rmse,0.5951,0.0083
saf,regression,official_split,test_uq,gbm,mae,0.4434,0.0118
saf,regression,official_split,test_uq,gbm,pearson,0.0193,0.0328
saf,regression,official_split,test_uq,gbm,spearman,0.0524,0.0415
saf,regression,official_split,test_uq,baseline,rmse,0.5428,0.0
saf,regression,official_split,test_uq,baseline,mae,0.3999,0.0
saf,regression,official_split,test_uq,baseline,pearson,,
saf,regression,official_split,test_uq,baseline,spearman,,
asap_sas,ordinal,official_split,test_ua,gbm,qwk,0.363,0.0031
asap_sas,ordinal,official_split,test_ua,gbm,accuracy,0.5556,0.0022
asap_sas,ordinal,official_split,test_ua,baseline,qwk,0.0,0.0
asap_sas,ordinal,official_split,test_ua,baseline,accuracy,0.5646,0.0
mohler,regression,kfold,cv,gbm,pearson,0.6281,0.0035
mohler,regression,kfold,cv,gbm,spearman,0.6089,0.0028
mohler,regression,kfold,cv,gbm,rmse,0.9055,0.003
mohler,regression,kfold,cv,gbm,mae,0.6447,0.0032
mohler,regression,kfold,cv,baseline,pearson,-0.0199,0.0
mohler,regression,kfold,cv,baseline,spearman,-0.016,0.0
mohler,regression,kfold,cv,baseline,rmse,1.1557,0.0
mohler,regression,kfold,cv,baseline,mae,0.9513,0.0
powergrading,classification,kfold,cv,gbm,macro_f1,0.8332,0.0013
powergrading,classification,kfold,cv,gbm,accuracy,0.8488,0.0011
powergrading,classification,kfold,cv,gbm,qwk,0.6664,0.0026
powergrading,classification,kfold,cv,baseline,macro_f1,0.3923,0.0
powergrading,classification,kfold,cv,baseline,accuracy,0.6454,0.0
powergrading,classification,kfold,cv,baseline,qwk,0.0,0.0
mindreading,ordinal,kfold,cv,gbm,qwk,0.1523,0.0025
mindreading,ordinal,kfold,cv,gbm,accuracy,0.3817,0.0016
mindreading,ordinal,kfold,cv,baseline,qwk,0.0,0.0
mindreading,ordinal,kfold,cv,baseline,accuracy,0.3334,0.0
