dataset,split,model,metric,mean,std
semeval,test_ua,neural,macro_f1,0.1179,0.0
semeval,test_ua,neural,weighted_f1,0.2462,0.0
semeval,test_ua,neural,accuracy,0.4178,0.0
semeval,test_ua,baseline,macro_f1,0.1179,0.0
semeval,test_ua,baseline,weighted_f1,0.2462,0.0
semeval,test_ua,baseline,accuracy,0.4178,0.0
semeval,test_uq,neural,macro_f1,0.1174,0.0
semeval,test_uq,neural,weighted_f1,0.244,0.0
semeval,test_uq,neural,accuracy,0.4156,0.0
semeval,test_uq,baseline,macro_f1,0.1174,0.0
semeval,test_uq,baseline,weighted_f1,0.244,0.0
semeval,test_uq,baseline,accuracy,0.4156,0.0
semeval,test_ud,neural,macro_f1,0.1184,0.0
semeval,test_ud,neural,weighted_f1,0.2487,0.0
semeval,test_ud,neural,accuracy,0.4202,0.0
semeval,test_ud,baseline,macro_f1,0.1184,0.0
semeval,test_ud,baseline,weighted_f1,0.2487,0.0
semeval,test_ud,baseline,accuracy,0.4202,0.0
