dataset,metric,variant,n_features,mean,std,delta_vs_full
semeval,macro_f1,full,31,0.4151,0.0065,0.0
semeval,macro_f1,-A,28,0.4012,0.004,-0.0139
semeval,macro_f1,-B,8,0.3064,0.0033,-0.1087
semeval,macro_f1,-C,26,0.4124,0.0016,-0.0028
semeval,macro_f1,only-A,3,0.2972,0.0029,-0.1179
semeval,macro_f1,only-B,23,0.3316,0.0048,-0.0835
semeval,macro_f1,only-C,5,0.2875,0.0022,-0.1276
semeval,macro_f1,-neg,25,0.3863,0.0039,-0.0288
saf,pearson,full,31,0.0238,0.0213,0.0
saf,pearson,-A,28,0.0041,0.0169,-0.0197
saf,pearson,-B,8,-0.0036,0.0047,-0.0274
saf,pearson,-C,26,0.0172,0.0131,-0.0067
saf,pearson,only-A,3,0.0319,0.0096,0.0081
saf,pearson,only-B,23,0.0455,0.0092,0.0217
saf,pearson,only-C,5,-0.1683,0.0043,-0.1921
saf,pearson,-neg,25,0.0026,0.011,-0.0212
asap_sas,qwk,full,31,0.34,0.0053,0.0
asap_sas,qwk,-A,28,0.34,0.0053,0.0
asap_sas,qwk,-B,8,0.0,0.0,-0.34
asap_sas,qwk,-C,26,0.34,0.0053,0.0
asap_sas,qwk,only-A,3,0.0,0.0,-0.34
asap_sas,qwk,only-B,23,0.34,0.0053,0.0
asap_sas,qwk,only-C,5,0.0,0.0,-0.34
asap_sas,qwk,-neg,25,0.3194,0.0046,-0.0205
mohler,pearson,full,31,0.584,0.0033,0.0
mohler,pearson,-A,28,0.5861,0.0042,0.0021
mohler,pearson,-B,8,0.4408,0.0019,-0.1432
mohler,pearson,-C,26,0.5903,0.0052,0.0063
mohler,pearson,only-A,3,0.4008,0.0052,-0.1832
mohler,pearson,only-B,23,0.585,0.0012,0.001
mohler,pearson,only-C,5,0.4199,0.0032,-0.1641
mohler,pearson,-neg,25,0.5665,0.0047,-0.0175
powergrading,macro_f1,full,31,0.8308,0.001,0.0
powergrading,macro_f1,-A,28,0.8316,0.0023,0.0008
powergrading,macro_f1,-B,8,0.6522,0.0027,-0.1786
powergrading,macro_f1,-C,26,0.8294,0.0013,-0.0014
powergrading,macro_f1,only-A,3,0.6497,0.0039,-0.1811
powergrading,macro_f1,only-B,23,0.8005,0.001,-0.0303
powergrading,macro_f1,only-C,5,0.6382,0.0012,-0.1927
powergrading,macro_f1,-neg,25,0.8261,0.0016,-0.0048
mindreading,qwk,full,31,0.1213,0.0013,0.0
mindreading,qwk,-A,28,0.1213,0.0013,0.0
mindreading,qwk,-B,8,0.0,0.0,-0.1213
mindreading,qwk,-C,26,0.1213,0.0013,0.0
mindreading,qwk,only-A,3,0.0,0.0,-0.1213
mindreading,qwk,only-B,23,0.1213,0.0013,0.0
mindreading,qwk,only-C,5,0.0,0.0,-0.1213
mindreading,qwk,-neg,25,0.107,0.0012,-0.0142
